id;placed_date;status;code
1;2019-10-06T14:06:42;COMPLETED;Soap Tasty Metal Sausages Outdoors
2;2019-10-06T22:27:20;PENDING;North Carolina Granite
3;2019-10-06T17:02:43;CANCELLED;Branding Dynamic black
4;2019-10-07T10:50:58;PENDING;Ergonomic Rubber Chicken
5;2019-10-07T04:26:12;COMPLETED;quantifying Garden
6;2019-10-06T16:58:01;PENDING;Solomon Islands Dollar
7;2019-10-07T04:09:14;CANCELLED;intermediate Table quantify
8;2019-10-06T17:09:01;PENDING;Robust Louisiana
9;2019-10-06T15:42:12;PENDING;compress Fantastic Global
10;2019-10-07T00:23:17;PENDING;Fantastic Small Frozen Salad bypassing
